Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
00000199-2a1a-702a-0000-000000000000,ef58ea08-d883-3957-8300-150554edc8fb,Keira502 Satterfield305,F,GENERAL PRACTICE,60 HOSPITAL ROAD,LEOMINSTER,MA,01453,42.520838,-71.770876,443
00000199-2a1a-702a-0000-00000000000a,69176529-fd1f-3b3f-abce-a0a3626769eb,Ernesto186 Tamez493,M,GENERAL PRACTICE,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,706
00000199-2a1a-702a-0000-000000000014,5e765f2b-e908-3888-9fc7-df2cb87beb58,Danilo179 Little434,M,GENERAL PRACTICE,211 PARK STREET,ATTLEBORO,MA,02703,41.931653,-71.294503,384
00000199-2a1a-702a-0000-00000000001e,f1fbcbfb-fcfa-3bd2-b7f4-df20f1b3c3a4,Giuseppe872 Kutch271,M,GENERAL PRACTICE,ONE GENERAL STREET,LAWRENCE,MA,01842,42.700273,-71.161357,106
00000199-2a1a-702a-0000-000000000028,e002090d-4e92-300e-b41e-7d1f21dee4c6,Mauro926 Braun514,M,GENERAL PRACTICE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,391
00000199-2a1a-702a-0000-000000000032,ef6ab57c-ed94-3dbe-9861-812d515918b3,Catherina275 Mante251,F,GENERAL PRACTICE,88 LEWIS BAY ROAD,HYANNIS,MA,02601,41.748854,-70.74053599999998,56
00000199-2a1a-702a-0000-00000000003c,49318f80-bd8b-3fc7-a096-ac43088b0c12,Bradly656 Cremin516,M,GENERAL PRACTICE,30 LOCUST STREET,NORTHAMPTON,MA,01060,42.327044,-72.67463000000002,45
00000199-2a1a-702a-0000-000000000046,fbf6180e-b800-3ebe-b91d-93d0288c400e,Devin82 Schuppe920,M,GENERAL PRACTICE,164 HIGH STREET,GREENFIELD,MA,01301,42.614671,-72.597063,17
00000199-2a1a-702a-0000-000000000050,8b58cdd1-3d79-3126-8fe0-da2c54d6805c,Francis500 Altenwerth646,M,GENERAL PRACTICE,2100 DORCHESTER AVENUE,BOSTON,MA,02124,42.33196,-71.020173,34
00000199-2a1a-702a-0000-00000000005a,4bdaa4c2-c664-3089-aee2-7137abbad27f,Antionette825 Gaylord332,F,GENERAL PRACTICE,100 SOUTH STREET,SOUTHBRIDGE,MA,01550,42.059669,-72.03404,177
00000199-2a1a-702a-0000-000000000064,ecc51621-0af3-3b35-ac3e-8b1e34022e92,Esmeralda972 Moen819,F,GENERAL PRACTICE,795 MIDDLE STREET,FALL RIVER,MA,02721,41.725351,-71.094162,575
00000199-2a1a-702a-0000-00000000006e,5d4b9df1-93ae-3bc9-b680-03249990e558,Ismael683 Gerlach374,M,GENERAL PRACTICE,575 BEECH STREET,HOLYOKE,MA,01040,42.211656,-72.642448,93
00000199-2a1a-702a-0000-000000000078,37b4d73f-652d-3033-a16e-d97b9e8b4cda,Victor265 Lowe577,M,GENERAL PRACTICE,25 HIGHLAND AVENUE,NEWBURYPORT,MA,01950,42.812141,-70.886646,25
00000199-2a1a-702a-0000-00000000008c,08bcda9c-f8c8-3244-82d4-fc306a7a55d3,Dean966 Schuppe920,M,GENERAL PRACTICE,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,02118,42.33196,-71.020173,1
00000199-2a1a-702a-0000-000000000096,37c0de84-bcaf-3624-82bf-a89b2ac441b8,Wilbur107 Friesen796,M,GENERAL PRACTICE,85 HERRICK STREET,BEVERLY,MA,01915,42.556659,-70.84496,143
00000199-2a1a-702a-0000-0000000000a0,4861d01f-019c-3dac-a153-8334e50919f9,Malena136 Gislason620,F,GENERAL PRACTICE,81 HIGHLAND AVENUE,SALEM,MA,01970,42.50128,-70.897502,37
00000199-2a1a-702a-0000-0000000000aa,a0b6ec0c-e587-3b2a-bf9f-248849f29ee5,Jc393 Breitenberg711,M,GENERAL PRACTICE,736 CAMBRIDGE STREET,BRIGHTON,MA,02135,42.33196,-71.020173,69
00000199-2a1a-702a-0000-0000000000b4,4f3a530e-a2f7-3de0-9a09-c0a70a9ab894,Flo729 O'Kon634,F,GENERAL PRACTICE,725 NORTH STREET,PITTSFIELD,MA,01201,42.452045,-73.26054,503
00000199-2a1a-702a-0000-0000000000be,f71ce1a9-cca7-3295-9a1e-c88ac3479b6f,Richie600 Graham902,M,GENERAL PRACTICE,157 UNION STREET,MARLBOROUGH,MA,01752,42.349617,-71.547214,205
00000199-2a1a-702a-0000-0000000000c8,c44f361c-2efb-3050-8f97-0354a12e2920,José Eduardo181 Arellano2,M,GENERAL PRACTICE,680 CENTER STREET,BROCKTON,MA,02302,42.082543,-71.024638,532
00000199-2a1a-702a-0000-0000000000dc,b1ddf812-1fdd-3adf-b1d5-32cc8bd07ebb,Daniel959 Orta736,M,GENERAL PRACTICE,275 SANDWICH STREET,PLYMOUTH,MA,02360,41.897892,-70.62403,787
00000199-2a1a-702a-0000-0000000000f0,b0e04623-b02c-3f8b-92ea-943fc4db60da,Vivian245 Beer512,F,GENERAL PRACTICE,295 VARNUM AVENUE,LOWELL,MA,01854,42.638893,-71.32210699999997,168
00000199-2a1a-702a-0000-000000000104,fd328395-ab1d-35c6-a2d0-d05a9a79cf11,Estela596 Delacrúz637,F,GENERAL PRACTICE,271 CAREW STREET,SPRINGFIELD,MA,01104,42.115454,-72.539978,2
00000199-2a1a-702a-0000-00000000010e,d692e283-0833-3201-8e55-4f868a9c0736,Millard193 Olson653,M,GENERAL PRACTICE,585 LEBANON STREET,MELROSE,MA,02176,42.455723,-71.05901899999998,821
00000199-2a1a-702a-0000-000000000118,d78e84ec-30aa-3bba-a33a-f29a3a454662,Ruthann382 Reilly981,F,GENERAL PRACTICE,55 FRUIT STREET,BOSTON,MA,02114,42.33196,-71.020173,6
00000199-2a1a-702a-0000-000000000122,8ad64ecf-c817-3753-bee7-006a8e662e06,Kyle55 Waelchi213,M,GENERAL PRACTICE,88 WASHINGTON STREET,TAUNTON,MA,02780,41.903323,-71.094984,16
00000199-2a1a-702a-0000-00000000012c,23834663-ed53-3da9-b330-d6e1ecb8428e,Janey243 Koss676,F,GENERAL PRACTICE,363 HIGHLAND AVENUE,FALL RIVER,MA,02720,41.725351,-71.094162,311
00000199-2a1a-702a-0000-000000000136,44bef9d3-91c2-3005-93e0-ccf436348ff0,Gayle448 Bergstrom287,M,GENERAL PRACTICE,243 CHARLES STREET,BOSTON,MA,02114,42.33196,-71.020173,18
00000199-2a1a-702a-0000-000000000140,60457c13-adb2-3415-82c5-86ab5dab5f93,Aleta47 Lockman863,F,GENERAL PRACTICE,759 CHESTNUT STREET,SPRINGFIELD,MA,01199,42.115454,-72.539978,1
00000199-2a1a-702a-0000-00000000014a,a9f20dc1-5147-3789-bcef-bbecb41c5983,Idell650 Kshlerin58,F,GENERAL PRACTICE,70 EAST STREET,METHUEN,MA,01844,42.742751,-71.178588,122
00000199-2a1a-702a-0000-000000000154,7fb56531-86bd-3e4a-8619-4df9942da309,Donte636 Mohr916,M,GENERAL PRACTICE,148 CHESTNUT STREET,NEEDHAM,MA,02494,42.281593,-71.242414,39
00000199-2a1a-702a-0000-00000000015e,03347b4d-994e-302b-848b-58019a4e274d,Latarsha812 Wehner319,F,GENERAL PRACTICE,133 OLD ROAD TO 9 ACRE CORNER,W CONCORD,MA,01742,42.269478,-71.807783,5
00000199-2a1a-702a-0000-000000000168,cb6a50e0-af76-3758-99ad-3200ede03fff,Leanna255 Reichert620,F,GENERAL PRACTICE,330 BROOKLINE AVENUE,BOSTON,MA,02215,42.33196,-71.020173,54
00000199-2a1a-702a-0000-000000000172,9a7149fa-49fc-3c87-b935-d29c55808717,Lucius907 Jacobson885,M,GENERAL PRACTICE,125 PARKER HILL AVENUE,BOSTON,MA,02120,42.33196,-71.020173,124
00000199-2a1a-702a-0000-00000000017c,24cb4eab-6166-3530-bddc-a5a8a14a4fc1,Chi716 Frami345,F,GENERAL PRACTICE,14 PROSPECT STREET,MILFORD,MA,01757,42.158692,-71.521419,3
00000199-2a1a-702a-0000-000000000186,e44f438a-601b-30fb-85eb-bfaf8ddcb5ad,Oneida64 McClure239,F,GENERAL PRACTICE,242 GREEN STREET,GARDNER,MA,01440,42.586516,-71.988062,103
00000199-2a1a-702a-0000-000000000190,ac8356a5-78f8-3a63-8a1e-59e832fd54e7,Artie871 Quitzon246,F,GENERAL PRACTICE,200 GROTON ROAD,AYER,MA,01432,42.562221,-71.58484399999998,191
00000199-2a1a-702a-0000-00000000019a,db0acede-4abe-3c01-8d03-5c68a190d8c7,Iola859 Wilderman619,F,GENERAL PRACTICE,55 FOGG ROAD,SOUTH WEYMOUTH,MA,02190,42.24158900000001,-71.082651,50
00000199-2a1a-702a-0000-0000000001a4,3d10019f-c88e-3de5-9916-6107b9c0263d,Magdalen131 Schoen8,F,GENERAL PRACTICE,2014 WASHINGTON STREET,NEWTON,MA,02462,42.331876,-71.208402,402
00000199-2a1a-702a-0000-0000000001ae,f4e7709c-02f6-37ca-aeea-8247d74e88e7,Sonny285 Haag279,M,GENERAL PRACTICE,41 HIGHLAND AVENUE,WINCHESTER,MA,01890,42.452752,-71.144319,192
00000199-2a1a-702a-0000-0000000001b8,12c9daf5-a29c-36c9-ac55-28972463e566,Carrol931 Witting912,F,GENERAL PRACTICE,199 REEDSDALE ROAD,MILTON,MA,02186,42.24158900000001,-71.082651,8
00000199-2a1a-702a-0000-0000000001c2,27379046-608b-32f0-9df7-8c833cf5d11d,Antonio44 MacGyver246,M,GENERAL PRACTICE,75 FRANCIS STREET,BOSTON,MA,02115,42.33196,-71.020173,22
